chr	med_log2r	n_bins	med_nT	med_nN
chr10	0.223670048079919	5386	1.97714681440443	1.40473061760841
chr12	0.000283280208481171	2616	2.66620498614958	2.22930354796321
chr19	0.217661525556586	3713	1.3483379501385	1.06241787122208
chr9	-0.0105637007888921	6089	0.971606648199446	0.987516425755585
